,0
0,Link Status
1,Link Status
2,Link Status
3,Link Status
4,---
5,beacon
6,beacon
7,beacon
8,beacon
9,beacon
10,beacon
11,beacon
12,beacon
13,beacon
14,beacon
15,Link Status
16,---
17,beacon
18,beacon
19,beacon
20,beacon
21,beacon
22,beacon
23,beacon
24,beacon
25,beacon
26,beacon
27,beacon
28,Link Status
29,Link Status
30,Link Status
31,---
32,beacon
33,beacon
34,beacon
35,beacon
36,beacon
37,beacon
38,beacon
39,beacon
40,beacon
41,beacon
42,beacon
43,Off (0x00)
44,Ack
45,---
46,Off (0x00)
47,Ack
48,Route Record (0x05)
49,Ack
50,Route Record (0x05)
51,Ack
52,Route Record (0x05)
53,Ack
54,Route Record (0x05)
55,Ack
56,Default Response (0x0b)
57,Ack
58,---
59,Ack
60,Default Response (0x0b)
61,Ack
62,Report Attributes (0x0a)
63,Ack
64,APS: Ack
65,Ack
66,APS: Ack
67,Ack
68,APS: Ack
69,Ack
70,APS: Ack
71,Ack
72,Default Response (0x0b)
73,Ack
74,Default Response (0x0b)
75,Ack
76,Default Response (0x0b)
77,Ack
78,Route Record (0x05)
79,Ack
80,Route Record (0x05)
81,Ack
82,APS: Ack
83,Ack
84,APS: Ack
85,Ack
86,Read Attributes (0x00)
87,Ack
88,Read Attributes Response (0x01)
89,Ack
90,Read Attributes (0x00)
91,Ack
92,Read Attributes (0x00)
93,Ack
94,APS: Ack
95,Ack
96,Read Attributes Response (0x01)
97,Ack
98,Read Attributes (0x00)
99,Ack
100,Read Attributes Response (0x01)
101,Ack
102,Read Attributes (0x00)
103,Ack
104,Read Attributes (0x00)
105,Ack
106,Link Status
107,Read Attributes Response (0x01)
108,Ack
109,APS: Ack
110,Ack
111,APS: Ack
112,Ack
113,Read Attributes (0x00)
114,Ack
115,Read Attributes Response (0x01)
116,Ack
117,APS: Ack
118,Ack
119,Read Attributes (0x00)
120,Ack
121,Read Attributes Response (0x01)
122,Ack
123,APS: Ack
124,Ack
125,APS: Ack
126,Ack
127,APS: Ack
128,Ack
129,APS: Ack
130,Ack
